id,path,timestamp
NCID0001,"[[128.586488, 35.867508], [128.586577, 35.868217], [128.585113, 35.870474], [128.581082, 35.870481], [128.580862, 35.87168]]","[2864.7, 2891.0, 2913.0, 2932.4, 2932.4]"
NCID0002,"[[128.580994, 35.870917], [128.581082, 35.870481], [128.604089, 35.869175], [128.60449, 35.872526], [128.606278, 35.875989], [128.606743, 35.876945], [128.611704, 35.880573], [128.62221, 35.892387], [128.62248, 35.89915], [128.635057, 35.899967], [128.641005, 35.909953], [128.654317, 35.912726]]","[11.8, 134.9, 159.4, 186.8, 194.3, 235.4, 345.7, 409.9, 481.4, 556.4, 667.9, 667.9]"
NCID0003,"[[128.594369, 35.865235], [128.599484, 35.863761], [128.601416, 35.873715], [128.5949, 35.87506], [128.599095, 35.890571], [128.593892, 35.893277], [128.596083, 35.899322]]","[2492.2, 2570.1, 2610.7, 2713.8999999999996, 2753.0999999999995, 2799.0999999999995, 2799.0999999999995]"
NCID0003,"[[128.562665, 35.84149], [128.560924, 35.841988], [128.55934, 35.83996], [128.558629, 35.839645], [128.55288, 35.84342], [128.551582, 35.846636], [128.55314, 35.85052], [128.548133, 35.854228], [128.551086, 35.855364], [128.551169, 35.855222]]","[562.8, 577.5999999999999, 584.3, 631.3, 656.0, 690.6, 734.5, 753.2, 755.8000000000001, 755.8000000000001]"
NCID0004,"[[128.583466, 35.869256], [128.582473, 35.869402]]","[1691.9, 1691.9]"
NCID0005,"[[128.554118, 35.80951], [128.554429, 35.808392], [128.551666, 35.808308], [128.541809, 35.820113], [128.548921, 35.827692], [128.550059, 35.827063]]","[1636.4, 1652.3000000000002, 1762.9, 1844.8000000000002, 1862.5000000000002, 1862.5000000000002]"
NCID0006,"[[128.497841, 35.854814], [128.498488, 35.854805], [128.498505, 35.855495], [128.50734, 35.855389], [128.515386, 35.85524], [128.515529, 35.858933], [128.5252, 35.8588], [128.527616, 35.864054], [128.527904, 35.865036], [128.547783, 35.892709], [128.551298, 35.893568], [128.551854, 35.894025], [128.549752, 35.896738], [128.54846, 35.913608], [128.546558, 35.913537], [128.54662, 35.912126], [128.545311, 35.912098], [128.545154, 35.911636], [128.545588, 35.911634]]","[1305.7, 1318.8, 1370.8999999999999, 1423.6, 1452.6, 1512.3999999999999, 1553.6, 1563.8, 1743.2, 1773.1000000000001, 1780.1000000000001, 1799.9, 1913.6000000000001, 1930.1000000000001, 1954.8000000000002, 1974.1000000000001, 1988.1000000000001, 1993.6000000000001, 1993.6000000000001]"
NCID0007,"[[128.6287, 35.877129], [128.617632, 35.87459], [128.614092, 35.881124], [128.602449, 35.886273], [128.600487, 35.886365], [128.590308, 35.888464]]","[2036.5, 2088.7, 2155.6, 2165.4, 2217.9, 2217.9]"
NCID0008,"[[128.530677, 35.838177], [128.530679, 35.83723], [128.529896, 35.837269], [128.529282, 35.837295], [128.521024, 35.831017], [128.518104, 35.82712], [128.464035, 35.794879], [128.473608, 35.769795], [128.464057, 35.730402], [128.461842, 35.733517], [128.448085, 35.727017], [128.448634, 35.72638]]","[1890.7, 1894.6000000000001, 1899.6000000000001, 1996.7, 2037.7, 2288.4, 2407.2000000000003, 2796.9, 2828.5, 2934.3, 2946.9, 2946.9]"
NCID0001,"[[128.595459, 35.869854], [128.59722, 35.86997], [128.597362, 35.870614], [128.586614, 35.870147]]","[3466.4, 3482.7000000000003, 3537.3, 3537.3]"
NCID0009,"[[128.540393, 35.809936], [128.540156, 35.810033], [128.540347, 35.811087], [128.549633, 35.815411], [128.549358, 35.818302], [128.565067, 35.831179], [128.571503, 35.830835], [128.573178, 35.830465], [128.576443, 35.832069], [128.606479, 35.834469], [128.615776, 35.834977], [128.615788, 35.835473]]","[2603.2, 2622.2, 2711.5, 2743.9, 2830.8, 2857.2000000000003, 2863.9, 2879.3, 3004.9, 3064.5, 3072.4, 3072.4]"
NCID0010,"[[128.572154, 35.858574], [128.571336, 35.857483], [128.571363, 35.857184], [128.574385, 35.858098], [128.55756, 35.837636], [128.555879, 35.835243], [128.561692, 35.828688], [128.559862, 35.827611], [128.549267, 35.81837], [128.555944, 35.809255], [128.554429, 35.808392], [128.553523, 35.80981]]","[3151.2, 3161.1, 3190.4, 3373.1, 3401.0, 3468.5, 3477.2, 3537.8999999999996, 3594.5999999999995, 3612.2999999999993, 3661.399999999999, 3661.399999999999]"
